"Carimbo de data/hora","Você tem interesse em comida 100% orgânica","Quais são os principais motivos que o levam/levariam a comprar produtos orgânicos?","Há feiras de alimento 100% orgânico onde você mora?","O quão distante você se deslocaria de onde mora para comprar este tipo de alimento?","Qual é o seu principal desafio ao comprar produtos orgânicos?","Você se interessaria mais em comprar este alimento se fizéssemos a entrega em sua residência?","Até quanto você estaria disposto a pagar em uma cesta pronta de produtos desta categoria?"
"2023/05/20 10:46:49 AM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos","Sim","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Sim","Cesta média - R$120,00"
"2023/05/20 11:07:32 AM GMT-3","Sim","Saúde e bem-estar","Sim","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 11:58:06 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável","Não","Até 10 Km","Disponibilidade limitada;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 11:58:13 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Preços elevados;Falta de variedade de produtos","Sim","Cesta média - R$120,00"
"2023/05/20 11:59:20 AM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos","Sim","Até 10 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 11:59:41 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 11:59:41 AM GMT-3","Sim","Saúde e bem-estar","Sim","Até 10 Km","Disponibilidade limitada","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:00:00 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:00:48 PM GMT-3","Sim","Saúde e bem-estar;Preferência por alimentos naturais","Não","Até 10 Km","Preços elevados","Não","Não pagaria"
"2023/05/20 12:00:55 PM GMT-3","Não","Sabor e qualidade dos alimentos;Preferência por alimentos naturais","Não","Até 20 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Não","Não pagaria"
"2023/05/20 12:02:22 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:03:09 PM GMT-3","Sim","Saúde e bem-estar","Não","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:03:46 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:08:29 PM GMT-3","Não","Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:10:15 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável","Não","Até 30 Km","Falta de informação sobre a origem dos produtos","Sim","Cesta média - R$120,00"
"2023/05/20 12:10:20 PM GMT-3","Sim","Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:13:14 PM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Sim","Cesta média - R$120,00"
"2023/05/20 12:16:25 PM GMT-3","Sim","Ausência de pesticidas e produtos químicos","Sim","Até 10 Km","Falta de informação sobre a origem dos produtos","Sim","Não pagaria"
"2023/05/20 12:17:37 PM GMT-3","Não","Preocupação com o meio ambiente","Não","5 km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Não","Não pagaria"
"2023/05/20 12:21:51 PM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente","Sim","Até 10 Km","Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:22:35 PM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos","Não","Até 20 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Não","Não pagaria"
"2023/05/20 12:23:50 PM GMT-3","Sim","Saúde e bem-estar","Sim","Até 20 Km","Preços elevados","Sim","Cesta média - R$120,00"
"2023/05/20 12:24:08 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente","Sim","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:24:34 PM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Preferência por alimentos naturais","Não","Até 10 Km","Preços elevados","Não","Não pagaria"
"2023/05/20 12:24:52 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos","Sim","Até 20 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta média - R$120,00"
"2023/05/20 12:28:36 PM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Preferência por alimentos naturais","Sim","0 km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Sim","Não pagaria"
"2023/05/20 12:31:42 PM GMT-3","Sim","Saúde e bem-estar;Apoio à agricultura sustentável;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Sim","Cesta média - R$120,00"
"2023/05/20 12:33:46 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:37:39 PM GMT-3","Não","Saúde e bem-estar","Sim","5km","Disponibilidade limitada;Preços elevados","Não","Não pagaria"
"2023/05/20 12:38:10 PM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 20 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Sim","Cesta média - R$120,00"
"2023/05/20 12:39:59 PM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos","Sim","Menos de 5km","Preços elevados;Falta de informação sobre a origem dos produtos","Não","Não pagaria"
"2023/05/20 12:45:15 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Preferência por alimentos naturais","Sim","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:45:52 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 12:50:25 PM GMT-3","Sim","Saúde e bem-estar","Não","Até 10 Km","Preços elevados","Não","Não pagaria"
"2023/05/20 1:01:17 PM GMT-3","Sim","Saúde e bem-estar","Sim","Até 10 Km","Falta de informação sobre a origem dos produtos","Sim","Cesta grande - R$200,00"
"2023/05/20 1:13:37 PM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Preços elevados","Sim","Não pagaria"
"2023/05/20 1:23:02 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta média - R$120,00"
"2023/05/20 1:27:31 PM GMT-3","Sim","Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Disponibilidade limitada;Preços elevados","Não","Não pagaria"
"2023/05/20 1:28:17 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente","Não","Até 10 Km","Falta de informação sobre a origem dos produtos","Não","Não pagaria"
"2023/05/20 1:38:56 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente","Sim","Até 10 Km","Falta de informação sobre a origem dos produtos","Não","Não pagaria"
"2023/05/20 1:40:49 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Sim","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 1:58:04 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Preferência por alimentos naturais","Sim","Até 10 Km","Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 2:14:37 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 2:21:50 PM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável","Não","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 2:27:54 PM GMT-3","Sim","Saúde e bem-estar","Não","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 2:28:41 PM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 2:29:56 PM GMT-3","Sim","Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 2:53:38 PM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Preferência por alimentos naturais","Sim","Até 20 Km","Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 3:05:04 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Ausência de pesticidas e produtos químicos","Sim","Até 20 Km","Disponibilidade limitada;Preços elevados;Falta de variedade de produtos","Sim","Cesta média - R$120,00"
"2023/05/20 3:15:56 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 3:16:26 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 3:58:05 PM GMT-3","Não","Saúde e bem-estar;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Não","Não pagaria"
"2023/05/20 3:58:31 PM GMT-3","Sim","Saúde e bem-estar","Sim","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 6:03:14 PM GMT-3","Sim","Ausência de pesticidas e produtos químicos","Não","Até 30 Km","Preços elevados","Sim","Não pagaria"
"2023/05/20 6:40:36 PM GMT-3","Não","Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 6:49:30 PM GMT-3","Sim","Saúde e bem-estar;Apoio à agricultura sustentável;Preferência por alimentos naturais","Sim","Até 10 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 7:27:17 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/20 7:40:32 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Sim","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 9:36:36 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/20 10:12:24 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/21 12:31:41 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/21 7:24:33 AM GMT-3","Não","Ausência de pesticidas e produtos químicos","Não","Até 30 Km","Preços elevados;Falta de informação sobre a origem dos produtos;Falta de variedade de produtos","Sim","Cesta média - R$120,00"
"2023/05/21 7:27:49 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Menos de 5km","Disponibilidade limitada;Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/21 7:38:12 AM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta média - R$120,00"
"2023/05/21 8:31:55 AM GMT-3","Sim","Saúde e bem-estar;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/21 10:20:13 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/21 2:02:04 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada","Sim","Cesta média - R$120,00"
"2023/05/21 3:56:22 PM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/21 4:05:26 PM GMT-3","Não","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Preços elevados","Sim","Cesta média - R$120,00"
"2023/05/21 4:07:47 PM GMT-3","Sim","Saúde e bem-estar","Não","Até 10 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/21 4:17:32 PM GMT-3","Sim","Saúde e bem-estar","Sim","Até 30 Km","Disponibilidade limitada;Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/21 4:45:54 PM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/22 3:55:19 PM GMT-3","Não","Ausência de pesticidas e produtos químicos","Não","2 km","Preços elevados","Não","Não pagaria"
"2023/05/22 9:18:32 PM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Sim","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/23 10:53:57 AM GMT-3","Sim","Ausência de pesticidas e produtos químicos","Sim","Até 20 Km","Preços elevados","Não","Cesta pequena - R$70,00"
"2023/05/23 11:09:01 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados","Sim","Cesta média - R$120,00"
"2023/05/27 9:47:34 AM GMT-3","Sim","Saúde e bem-estar;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Não","Até 20 Km","Preços elevados","Sim","Cesta pequena - R$70,00"
"2023/05/27 9:47:41 AM GMT-3","Sim","Saúde e bem-estar","Sim","Até 10 Km","Disponibilidade limitada","Sim","Cesta pequena - R$70,00"
"2023/05/27 9:49:03 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos","Sim","Até 10 Km","Preços elevados;Falta de variedade de produtos","Sim","Cesta pequena - R$70,00"
"2023/05/27 9:50:33 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Sim",".","Disponibilidade limitada;Falta de informação sobre a origem dos produtos","Sim","Cesta grande - R$200,00"
"2023/05/27 9:59:58 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente","Não","Eu nao sei onde encontrar ","Disponibilidade limitada;Preços elevados","Sim","Cesta média - R$120,00"
"2023/05/27 10:03:57 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Preferência por alimentos naturais","Não","Até 10 Km","Preços elevados","Sim","Cesta média - R$120,00"
"2023/05/27 10:06:04 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Sabor e qualidade dos alimentos;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Sim","Até 20 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/27 10:16:18 AM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Ausência de pesticidas e produtos químicos","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"
"2023/05/27 10:41:23 AM GMT-3","Sim","Saúde e bem-estar;Preocupação com o meio ambiente;Apoio à agricultura sustentável;Ausência de pesticidas e produtos químicos","Sim","Até 20 Km","Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta média - R$120,00"
"2023/05/27 11:12:00 AM GMT-3","Sim","Saúde e bem-estar;Sabor e qualidade dos alimentos;Preferência por alimentos naturais","Não","Até 10 Km","Disponibilidade limitada;Preços elevados;Falta de informação sobre a origem dos produtos","Sim","Cesta pequena - R$70,00"